S/N,Order_Date,TransactionID,CustomerID,ProductID,Quantity_Supplied,Discount(%)
42,1/14/2019,DCLPS/596,DCP/pop/5584,DCCP/Class J /1481,7,1
43,1/14/2019,DCLPS/597,DCP/pop/5500,DCCP/Class A/1476,96,1
44,1/14/2019,DCLPS/598,DCP/pop/5501,DCCP/Class A/1485,166,7
45,1/14/2019,DCLPS/599,DCP/pop/5622,DCCP/Class A/1487,288,10
46,1/14/2019,DCLPS/600,DCP/pop/5557,DCCP/Class J /1488,37,4
47,1/15/2019,DCLPS/601,DCP/pop/5582,DCCP/Class A/1484,207,6
48,1/15/2019,DCLPS/602,DCP/pop/5594,DCCP/Class A/1480,169,10
49,1/16/2019,DCLPS/603,DCP/pop/5642,DCCP/Class A/1476,282,0
50,1/17/2019,DCLPS/604,DCP/pop/5583,DCCP/Class J /1489,165,6
51,1/17/2019,DCLPS/605,DCP/pop/5489,DCCP/Class J /1483,67,7
52,1/18/2019,DCLPS/606,DCP/pop/5540,DCCP/Class A/1480,186,9
53,1/18/2019,DCLPS/607,DCP/pop/5621,DCCP/Class A/1484,255,3
54,1/18/2019,DCLPS/608,DCP/pop/5542,DCCP/Class M/1490,143,7
55,1/18/2019,DCLPS/609,DCP/pop/5644,DCCP/Class A/1476,262,9
56,1/18/2019,DCLPS/610,DCP/pop/5511,DCCP/Class A/1480,115,4
57,1/18/2019,DCLPS/611,DCP/pop/5632,DCCP/Class J /1488,109,10
58,1/18/2019,DCLPS/612,DCP/pop/5633,DCCP/Class H/1491,177,8
59,1/18/2019,DCLPS/613,DCP/pop/5499,DCCP/Class A/1476,219,8
60,1/18/2019,DCLPS/614,DCP/pop/5655,DCCP/Class A/1480,205,8
61,1/18/2019,DCLPS/615,DCP/pop/5600,DCCP/Class J /1488,267,5
62,1/18/2019,DCLPS/616,DCP/pop/5560,DCCP/Class H/1491,7,1
63,1/18/2019,DCLPS/617,DCP/pop/5525,DCCP/Class A/1476,111,3
64,1/18/2019,DCLPS/618,DCP/pop/5541,DCCP/Class A/1480,240,6
65,1/18/2019,DCLPS/619,DCP/pop/5481,DCCP/Class J /1488,204,9
66,1/18/2019,DCLPS/620,DCP/pop/5556,DCCP/Class H/1491,67,9
67,1/22/2019,DCLPS/621,DCP/pop/5565,DCCP/Class WT/1492,192,3
68,1/22/2019,DCLPS/622,DCP/pop/5563,DCCP/Class J /1488,76,6
69,1/22/2019,DCLPS/623,DCP/pop/5616,DCCP/Class WT/1478,105,7
70,1/22/2019,DCLPS/624,DCP/pop/5643,DCCP/Class J /1488,55,0
71,1/22/2019,DCLPS/625,DCP/pop/5606,DCCP/Class A/1476,6,4
72,1/22/2019,DCLPS/626,DCP/pop/5512,DCCP/Class A/1487,33,3
73,1/22/2019,DCLPS/627,DCP/pop/5621,DCCP/Class A/1485,73,5
74,1/22/2019,DCLPS/628,DCP/pop/5523,DCCP/Class J /1489,70,5
75,1/23/2019,DCLPS/629,DCP/pop/5508,DCCP/Class A/1480,163,2
76,1/23/2019,DCLPS/630,DCP/pop/5527,DCCP/Class J /1488,245,2
77,1/23/2019,DCLPS/631,DCP/pop/5639,DCCP/Class H/1491,148,8
78,1/23/2019,DCLPS/632,DCP/pop/5575,DCCP/Class A/1480,159,3
79,1/23/2019,DCLPS/633,DCP/pop/5501,DCCP/Class J /1488,70,3
80,1/23/2019,DCLPS/634,DCP/pop/5583,DCCP/Class H/1491,287,4
81,1/23/2019,DCLPS/635,DCP/pop/5612,DCCP/Class A/1480,71,5
82,1/23/2019,DCLPS/636,DCP/pop/5561,DCCP/Class J /1488,28,10
83,1/23/2019,DCLPS/637,DCP/pop/5595,DCCP/Class H/1491,198,10
84,1/23/2019,DCLPS/638,DCP/pop/5651,DCCP/Class J /1475,62,10
85,1/23/2019,DCLPS/639,DCP/pop/5492,DCCP/Class J /1481,146,5
86,1/23/2019,DCLPS/640,DCP/pop/5554,DCCP/Class A/1480,116,10
87,1/23/2019,DCLPS/641,DCP/pop/5655,DCCP/Class A/1484,41,2
88,1/23/2019,DCLPS/642,DCP/pop/5634,DCCP/Class J /1475,49,2
89,1/23/2019,DCLPS/643,DCP/pop/5614,DCCP/Class J /1481,122,3
90,1/23/2019,DCLPS/644,DCP/pop/5595,DCCP/Class A/1480,222,6
91,1/23/2019,DCLPS/645,DCP/pop/5541,DCCP/Class A/1484,158,10
92,1/23/2019,DCLPS/646,DCP/pop/5519,DCCP/Class J /1475,163,0
93,1/23/2019,DCLPS/647,DCP/pop/5519,DCCP/Class J /1481,135,2
94,1/23/2019,DCLPS/648,DCP/pop/5492,DCCP/Class A/1480,45,5
95,1/23/2019,DCLPS/649,DCP/pop/5479,DCCP/Class A/1484,177,6
96,1/23/2019,DCLPS/650,DCP/pop/5638,DCCP/Class J /1475,10,5
97,1/23/2019,DCLPS/651,DCP/pop/5603,DCCP/Class J /1481,78,5
98,1/23/2019,DCLPS/652,DCP/pop/5650,DCCP/Class J /1493,277,6
99,1/23/2019,DCLPS/653,DCP/pop/5499,DCCP/Class A/1480,78,1
100,1/23/2019,DCLPS/654,DCP/pop/5486,DCCP/Class A/1484,12,5
101,1/23/2019,DCLPS/655,DCP/pop/5599,DCCP/Class A/1476,141,7
102,1/23/2019,DCLPS/656,DCP/pop/5569,DCCP/Class WT/1478,54,4
103,1/24/2019,DCLPS/657,DCP/pop/5499,DCCP/Class J /1488,46,8
104,1/24/2019,DCLPS/658,DCP/pop/5478,DCCP/Class J /1483,168,10
105,1/24/2019,DCLPS/659,DCP/pop/5552,DCCP/Class J /1488,35,5
106,1/24/2019,DCLPS/660,DCP/pop/5596,DCCP/Class J /1483,268,2
107,1/25/2019,DCLPS/661,DCP/pop/5525,DCCP/Class A/1480,66,1
108,1/25/2019,DCLPS/662,DCP/pop/5498,DCCP/Class J /1488,194,3
109,1/25/2019,DCLPS/663,DCP/pop/5504,DCCP/Class H/1491,294,2
110,1/25/2019,DCLPS/664,DCP/pop/5576,DCCP/Class A/1480,293,9
111,1/25/2019,DCLPS/665,DCP/pop/5657,DCCP/Class J /1488,75,4
112,1/25/2019,DCLPS/666,DCP/pop/5630,DCCP/Class H/1491,144,7
113,1/25/2019,DCLPS/667,DCP/pop/5588,DCCP/Class A/1480,236,0
114,1/25/2019,DCLPS/668,DCP/pop/5527,DCCP/Class J /1488,53,8
115,1/25/2019,DCLPS/669,DCP/pop/5613,DCCP/Class H/1491,284,5
116,1/28/2019,DCLPS/670,DCP/pop/5497,DCCP/Class J /1488,135,4
117,1/28/2019,DCLPS/671,DCP/pop/5518,DCCP/Class WT/1478,146,6
118,1/28/2019,DCLPS/672,DCP/pop/5638,DCCP/Class WT/1478,256,8
119,1/28/2019,DCLPS/673,DCP/pop/5659,DCCP/Class J /1483,57,3
120,1/28/2019,DCLPS/674,DCP/pop/5549,DCCP/Class J /1488,42,7
121,1/28/2019,DCLPS/675,DCP/pop/5623,DCCP/Class A/1487,222,7
122,1/28/2019,DCLPS/676,DCP/pop/5503,DCCP/Class A/1485,164,2
123,1/28/2019,DCLPS/677,DCP/pop/5583,DCCP/Class A/1480,101,2
124,1/28/2019,DCLPS/678,DCP/pop/5627,DCCP/Class J /1494,39,0
125,1/29/2019,DCLPS/679,DCP/pop/5572,DCCP/Class V/1495,102,8
126,1/29/2019,DCLPS/680,DCP/pop/5603,DCCP/Class V/1496,62,4
127,1/29/2019,DCLPS/681,DCP/pop/5513,DCCP/Class A/1480,110,5
128,1/29/2019,DCLPS/682,DCP/pop/5598,DCCP/Class J /1488,283,2
129,1/29/2019,DCLPS/683,DCP/pop/5559,DCCP/Class H/1491,59,3
130,1/29/2019,DCLPS/684,DCP/pop/5596,DCCP/Class A/1480,206,5
131,1/29/2019,DCLPS/685,DCP/pop/5547,DCCP/Class J /1488,35,2
132,1/29/2019,DCLPS/686,DCP/pop/5527,DCCP/Class H/1491,253,6
133,1/29/2019,DCLPS/687,DCP/pop/5525,DCCP/Class A/1480,47,2
134,1/29/2019,DCLPS/688,DCP/pop/5641,DCCP/Class J /1488,201,0
135,1/29/2019,DCLPS/689,DCP/pop/5507,DCCP/Class H/1491,131,6
136,1/30/2019,DCLPS/690,DCP/pop/5592,DCCP/Class J /1488,195,5
137,1/31/2019,DCLPS/691,DCP/pop/5516,DCCP/Class V/1497,95,6
138,1/31/2019,DCLPS/692,DCP/pop/5556,DCCP/Class V/1498,114,5
139,1/31/2019,DCLPS/693,DCP/pop/5527,DCCP/Class V/1499,136,4
140,1/31/2019,DCLPS/694,DCP/pop/5657,DCCP/Class V/1500,99,4
141,1/31/2019,DCLPS/695,DCP/pop/5557,DCCP/Class V/1501,59,10
142,1/31/2019,DCLPS/696,DCP/pop/5550,DCCP/Class V/1502,182,1
143,1/31/2019,DCLPS/697,DCP/pop/5612,DCCP/Class V/1503,196,5
144,1/31/2019,DCLPS/698,DCP/pop/5586,DCCP/Class V/1504,114,10
145,1/31/2019,DCLPS/699,DCP/pop/5614,DCCP/Class V/1495,2,10
146,1/31/2019,DCLPS/700,DCP/pop/5574,DCCP/Class V/1505,195,6
147,1/31/2019,DCLPS/701,DCP/pop/5504,DCCP/Class V/1506,45,3
148,1/31/2019,DCLPS/702,DCP/pop/5491,DCCP/Class V/1507,72,10
149,1/31/2019,DCLPS/703,DCP/pop/5568,DCCP/Class V/1508,153,10
150,1/31/2019,DCLPS/704,DCP/pop/5650,DCCP/Class J /1488,58,4
151,1/31/2019,DCLPS/705,DCP/pop/5563,DCCP/Class J /1483,237,9
152,1/31/2019,DCLPS/706,DCP/pop/5573,DCCP/Class A/1487,24,10
153,1/31/2019,DCLPS/707,DCP/pop/5481,DCCP/Class J /1494,230,4
154,1/31/2019,DCLPS/708,DCP/pop/5630,DCCP/Class J /1488,268,8
155,1/31/2019,DCLPS/709,DCP/pop/5507,DCCP/Class J /1475,226,0
156,1/31/2019,DCLPS/710,DCP/pop/5622,DCCP/Class J /1489,16,7
157,1/31/2019,DCLPS/711,DCP/pop/5536,DCCP/Class J /1481,268,7
158,2/1/2019,DCLPS/712,DCP/pop/5646,DCCP/Class J /1488,150,7
159,2/1/2019,DCLPS/713,DCP/pop/5531,DCCP/Class A/1487,222,4
160,2/1/2019,DCLPS/714,DCP/pop/5642,DCCP/Class H/1491,28,4
161,2/1/2019,DCLPS/715,DCP/pop/5550,DCCP/Class M/1509,72,6
162,2/1/2019,DCLPS/716,DCP/pop/5639,DCCP/Class V/1495,158,3
163,2/1/2019,DCLPS/717,DCP/pop/5530,DCCP/Class V/1495,227,1
164,2/1/2019,DCLPS/718,DCP/pop/5505,DCCP/Class J /1488,241,7
165,2/1/2019,DCLPS/719,DCP/pop/5587,DCCP/Class A/1487,27,9
166,2/1/2019,DCLPS/720,DCP/pop/5513,DCCP/Class J /1494,1,8
167,2/1/2019,DCLPS/721,DCP/pop/5587,DCCP/Class J /1482,64,7
168,2/1/2019,DCLPS/722,DCP/pop/5612,DCCP/Class J /1483,291,4
169,2/1/2019,DCLPS/723,DCP/pop/5596,DCCP/Class WT/1478,19,1
170,2/1/2019,DCLPS/724,DCP/pop/5563,DCCP/Class A/1480,254,10
171,2/1/2019,DCLPS/725,DCP/pop/5633,DCCP/Class J /1488,7,6
172,2/1/2019,DCLPS/726,DCP/pop/5652,DCCP/Class H/1491,10,0
173,2/1/2019,DCLPS/727,DCP/pop/5577,DCCP/Class J /1483,92,5
174,2/4/2019,DCLPS/728,DCP/pop/5514,DCCP/Class J /1488,263,6
175,2/4/2019,DCLPS/729,DCP/pop/5518,DCCP/Class WT/1478,88,10
176,2/4/2019,DCLPS/730,DCP/pop/5516,DCCP/Class J /1488,134,4
177,2/4/2019,DCLPS/731,DCP/pop/5507,DCCP/Class A/1480,143,8
178,2/4/2019,DCLPS/732,DCP/pop/5635,DCCP/Class A/1485,275,0
179,2/5/2019,DCLPS/733,DCP/pop/5547,DCCP/Class J /1489,32,9
180,2/5/2019,DCLPS/734,DCP/pop/5518,DCCP/Class H/1510,46,1
181,2/5/2019,DCLPS/735,DCP/pop/5595,DCCP/Class J /1475,285,3
182,2/5/2019,DCLPS/736,DCP/pop/5544,DCCP/Class J /1481,292,9
183,2/5/2019,DCLPS/737,DCP/pop/5615,DCCP/Class J /1483,266,8
184,2/5/2019,DCLPS/738,DCP/pop/5618,DCCP/Class M/1509,44,6
185,2/7/2019,DCLPS/739,DCP/pop/5553,DCCP/Class WT/1478,188,2
186,2/8/2019,DCLPS/740,DCP/pop/5484,DCCP/Class J /1481,269,0
187,2/8/2019,DCLPS/741,DCP/pop/5565,DCCP/Class J /1489,105,7
188,2/8/2019,DCLPS/742,DCP/pop/5611,DCCP/Class J /1475,44,7
189,2/8/2019,DCLPS/743,DCP/pop/5644,DCCP/Class J /1483,52,5
190,2/8/2019,DCLPS/744,DCP/pop/5521,DCCP/Class V/1505,292,7
191,2/8/2019,DCLPS/745,DCP/pop/5655,DCCP/Class V/1505,130,6
192,2/12/2019,DCLPS/746,DCP/pop/5554,DCCP/Class A/1485,5,2
193,2/12/2019,DCLPS/747,DCP/pop/5529,DCCP/Class J /1494,123,2
194,2/12/2019,DCLPS/748,DCP/pop/5658,DCCP/Class J /1475,11,9
195,2/12/2019,DCLPS/749,DCP/pop/5516,DCCP/Class J /1494,159,5
196,2/12/2019,DCLPS/750,DCP/pop/5514,DCCP/Class J /1488,228,3
197,2/12/2019,DCLPS/751,DCP/pop/5488,DCCP/Class A/1480,265,1
198,2/12/2019,DCLPS/752,DCP/pop/5607,DCCP/Class H/1511,55,7
199,2/12/2019,DCLPS/753,DCP/pop/5639,DCCP/Class H/1512,78,9
200,2/12/2019,DCLPS/754,DCP/pop/5619,DCCP/Class H/1513,169,1
201,2/12/2019,DCLPS/755,DCP/pop/5575,DCCP/Class J /1483,118,2
202,2/12/2019,DCLPS/756,DCP/pop/5504,DCCP/Class H/1511,27,6
203,2/12/2019,DCLPS/757,DCP/pop/5564,DCCP/Class H/1512,232,7
204,2/12/2019,DCLPS/758,DCP/pop/5514,DCCP/Class H/1514,282,2
205,2/12/2019,DCLPS/759,DCP/pop/5628,DCCP/Class J /1515,126,2
206,2/12/2019,DCLPS/760,DCP/pop/5578,DCCP/Class A/1485,72,6
207,2/12/2019,DCLPS/761,DCP/pop/5606,DCCP/Class J /1488,208,1
208,2/12/2019,DCLPS/762,DCP/pop/5508,DCCP/Class J /1482,216,1
209,2/12/2019,DCLPS/763,DCP/pop/5563,DCCP/Class H/1513,137,10
210,2/12/2019,DCLPS/764,DCP/pop/5484,DCCP/Class J /1483,274,10
211,2/12/2019,DCLPS/765,DCP/pop/5506,DCCP/Class H/1514,73,5
212,2/12/2019,DCLPS/766,DCP/pop/5606,DCCP/Class J /1489,220,6
213,2/12/2019,DCLPS/767,DCP/pop/5605,DCCP/Class J /1488,78,2
214,2/13/2019,DCLPS/768,DCP/pop/5648,DCCP/Class WT/1516,71,5
215,2/14/2019,DCLPS/769,DCP/pop/5629,DCCP/Class H/1512,10,9
216,2/14/2019,DCLPS/770,DCP/pop/5601,DCCP/Class H/1514,258,2
217,2/18/2019,DCLPS/771,DCP/pop/5521,DCCP/Class A/1487,52,0
218,2/18/2019,DCLPS/772,DCP/pop/5621,DCCP/Class J /1483,71,7
219,2/18/2019,DCLPS/773,DCP/pop/5581,DCCP/Class J /1489,286,3
220,2/18/2019,DCLPS/774,DCP/pop/5628,DCCP/Class A/1487,193,1
221,2/18/2019,DCLPS/775,DCP/pop/5518,DCCP/Class J /1483,210,8
222,2/18/2019,DCLPS/776,DCP/pop/5633,DCCP/Class H/1514,206,6
223,2/18/2019,DCLPS/777,DCP/pop/5616,DCCP/Class A/1487,46,6
224,2/18/2019,DCLPS/778,DCP/pop/5592,DCCP/Class H/1513,95,0
225,2/18/2019,DCLPS/779,DCP/pop/5545,DCCP/Class A/1485,151,0
226,2/18/2019,DCLPS/780,DCP/pop/5658,DCCP/Class A/1480,137,7
227,2/18/2019,DCLPS/781,DCP/pop/5506,DCCP/Class H/1491,257,5
228,2/18/2019,DCLPS/782,DCP/pop/5612,DCCP/Class A/1487,47,7
229,2/18/2019,DCLPS/783,DCP/pop/5627,DCCP/Class V/1496,196,6
230,2/18/2019,DCLPS/784,DCP/pop/5613,DCCP/Class H/1512,204,7
231,2/18/2019,DCLPS/785,DCP/pop/5653,DCCP/Class H/1514,217,0
232,2/18/2019,DCLPS/786,DCP/pop/5481,DCCP/Class H/1512,118,4
233,2/18/2019,DCLPS/787,DCP/pop/5599,DCCP/Class H/1514,177,7
234,2/18/2019,DCLPS/788,DCP/pop/5595,DCCP/Class J /1475,125,0
235,2/18/2019,DCLPS/789,DCP/pop/5534,DCCP/Class A/1480,290,7
236,2/18/2019,DCLPS/790,DCP/pop/5506,DCCP/Class J /1488,171,0
237,2/18/2019,DCLPS/791,DCP/pop/5616,DCCP/Class H/1491,266,2
238,2/19/2019,DCLPS/792,DCP/pop/5625,DCCP/Class A/1480,272,2
239,2/19/2019,DCLPS/793,DCP/pop/5617,DCCP/Class J /1488,27,8
240,2/19/2019,DCLPS/794,DCP/pop/5590,DCCP/Class H/1491,172,7
241,2/19/2019,DCLPS/795,DCP/pop/5492,DCCP/Class A/1480,20,1
242,2/20/2019,DCLPS/796,DCP/pop/5540,DCCP/Class H/1517,84,3
243,2/20/2019,DCLPS/797,DCP/pop/5655,DCCP/Class A/1480,169,1
244,2/20/2019,DCLPS/798,DCP/pop/5520,DCCP/Class A/1485,58,8
245,2/20/2019,DCLPS/799,DCP/pop/5601,DCCP/Class V/1495,260,0
246,2/21/2019,DCLPS/800,DCP/pop/5610,DCCP/Class M/1518,25,8
247,2/21/2019,DCLPS/801,DCP/pop/5575,DCCP/Class J /1482,123,3
248,2/21/2019,DCLPS/802,DCP/pop/5535,DCCP/Class A/1485,190,10
249,2/21/2019,DCLPS/803,DCP/pop/5643,DCCP/Class A/1480,232,10
250,2/21/2019,DCLPS/804,DCP/pop/5536,DCCP/Class J /1488,1,6
251,2/21/2019,DCLPS/805,DCP/pop/5560,DCCP/Class J /1482,60,5
252,2/21/2019,DCLPS/806,DCP/pop/5541,DCCP/Class M/1519,268,9
253,2/21/2019,DCLPS/807,DCP/pop/5646,DCCP/Class V/1520,274,1
254,2/21/2019,DCLPS/808,DCP/pop/5570,DCCP/Class A/1484,209,5
255,2/22/2019,DCLPS/809,DCP/pop/5528,DCCP/Class A/1485,274,0
256,2/22/2019,DCLPS/810,DCP/pop/5515,DCCP/Class A/1480,167,0
257,2/22/2019,DCLPS/811,DCP/pop/5588,DCCP/Class J /1488,209,9
258,2/22/2019,DCLPS/812,DCP/pop/5567,DCCP/Class H/1491,165,0
259,2/22/2019,DCLPS/813,DCP/pop/5642,DCCP/Class H/1491,146,7
260,2/25/2019,DCLPS/814,DCP/pop/5628,DCCP/Class J /1494,208,4
261,2/25/2019,DCLPS/815,DCP/pop/5556,DCCP/Class J /1488,147,3
262,2/25/2019,DCLPS/816,DCP/pop/5540,DCCP/Class A/1480,115,5
263,2/25/2019,DCLPS/817,DCP/pop/5622,DCCP/Class A/1487,22,1
264,2/26/2019,DCLPS/818,DCP/pop/5539,DCCP/Class H/1514,78,4
265,2/26/2019,DCLPS/819,DCP/pop/5547,DCCP/Class A/1480,153,10
266,2/26/2019,DCLPS/820,DCP/pop/5554,DCCP/Class J /1488,254,2
267,2/26/2019,DCLPS/821,DCP/pop/5589,DCCP/Class H/1512,71,3
268,2/26/2019,DCLPS/822,DCP/pop/5545,DCCP/Class V/1495,180,3
269,2/26/2019,DCLPS/823,DCP/pop/5486,DCCP/Class A/1480,200,10
270,2/26/2019,DCLPS/824,DCP/pop/5508,DCCP/Class J /1488,111,9
271,2/26/2019,DCLPS/825,DCP/pop/5536,DCCP/Class H/1491,128,9
272,2/26/2019,DCLPS/826,DCP/pop/5536,DCCP/Class A/1487,298,5
273,2/27/2019,DCLPS/827,DCP/pop/5502,DCCP/Class H/1514,195,6
274,2/27/2019,DCLPS/828,DCP/pop/5483,DCCP/Class J /1494,204,6
275,2/27/2019,DCLPS/829,DCP/pop/5572,DCCP/Class V/1505,135,3
276,2/27/2019,DCLPS/830,DCP/pop/5517,DCCP/Class V/1495,92,6
277,2/27/2019,DCLPS/831,DCP/pop/5643,DCCP/Class V/1521,214,3
278,2/27/2019,DCLPS/832,DCP/pop/5582,DCCP/Class V/1496,75,8
279,2/28/2019,DCLPS/833,DCP/pop/5479,DCCP/Class J /1488,124,4
280,2/28/2019,DCLPS/834,DCP/pop/5559,DCCP/Class H/1514,184,3
281,2/28/2019,DCLPS/835,DCP/pop/5593,DCCP/Class A/1487,153,10
282,2/28/2019,DCLPS/836,DCP/pop/5578,DCCP/Class A/1487,191,2
283,2/28/2019,DCLPS/837,DCP/pop/5491,DCCP/Class J /1488,182,6
284,2/28/2019,DCLPS/838,DCP/pop/5489,DCCP/Class J /1483,76,5
285,2/28/2019,DCLPS/839,DCP/pop/5602,DCCP/Class M/1509,197,10
286,2/28/2019,DCLPS/840,DCP/pop/5592,DCCP/Class A/1480,238,9
287,2/28/2019,DCLPS/841,DCP/pop/5586,DCCP/Class J /1494,18,7
288,2/28/2019,DCLPS/842,DCP/pop/5498,DCCP/Class V/1505,234,8
289,2/28/2019,DCLPS/843,DCP/pop/5515,DCCP/Class V/1505,171,5
290,2/28/2019,DCLPS/844,DCP/pop/5579,DCCP/Class V/1496,130,5
291,3/1/2019,DCLPS/845,DCP/pop/5605,DCCP/Class J /1488,172,1
292,3/1/2019,DCLPS/846,DCP/pop/5626,DCCP/Class J /1494,27,5
293,3/1/2019,DCLPS/847,DCP/pop/5489,DCCP/Class A/1487,211,2
294,3/1/2019,DCLPS/848,DCP/pop/5616,DCCP/Class A/1480,272,2
295,3/1/2019,DCLPS/849,DCP/pop/5542,DCCP/Class J /1488,275,7
296,3/1/2019,DCLPS/850,DCP/pop/5546,DCCP/Class H/1514,157,10
297,3/1/2019,DCLPS/851,DCP/pop/5581,DCCP/Class A/1480,115,0
298,3/1/2019,DCLPS/852,DCP/pop/5659,DCCP/Class J /1482,37,3
299,3/1/2019,DCLPS/853,DCP/pop/5651,DCCP/Class J /1483,185,6
300,3/1/2019,DCLPS/854,DCP/pop/5513,DCCP/Class J /1488,272,3
301,3/4/2019,DCLPS/855,DCP/pop/5547,DCCP/Class J /1475,115,10
302,3/4/2019,DCLPS/856,DCP/pop/5634,DCCP/Class H/1512,4,2
303,3/4/2019,DCLPS/857,DCP/pop/5624,DCCP/Class H/1511,175,5
304,3/4/2019,DCLPS/858,DCP/pop/5479,DCCP/Class H/1514,249,6
305,3/4/2019,DCLPS/859,DCP/pop/5601,DCCP/Class J /1488,96,5
306,3/4/2019,DCLPS/860,DCP/pop/5537,DCCP/Class A/1480,89,7
307,3/4/2019,DCLPS/861,DCP/pop/5651,DCCP/Class H/1514,103,3
308,3/4/2019,DCLPS/862,DCP/pop/5499,DCCP/Class V/1505,55,7
309,3/4/2019,DCLPS/863,DCP/pop/5609,DCCP/Class J /1475,112,2
310,3/5/2019,DCLPS/864,DCP/pop/5566,DCCP/Class H/1512,300,5
311,3/5/2019,DCLPS/865,DCP/pop/5588,DCCP/Class H/1514,167,7
312,3/5/2019,DCLPS/866,DCP/pop/5510,DCCP/Class H/1512,226,3
313,3/5/2019,DCLPS/867,DCP/pop/5557,DCCP/Class H/1511,104,10
314,3/5/2019,DCLPS/868,DCP/pop/5566,DCCP/Class A/1480,1,4
315,3/6/2019,DCLPS/869,DCP/pop/5631,DCCP/Class J /1489,223,9
316,3/6/2019,DCLPS/870,DCP/pop/5498,DCCP/Class J /1522,255,7
317,3/6/2019,DCLPS/871,DCP/pop/5484,DCCP/Class J /1475,180,8
318,3/6/2019,DCLPS/872,DCP/pop/5567,DCCP/Class J /1483,199,5
319,3/6/2019,DCLPS/873,DCP/pop/5479,DCCP/Class A/1480,271,4
320,3/6/2019,DCLPS/874,DCP/pop/5541,DCCP/Class M/1523,53,6
321,3/6/2019,DCLPS/875,DCP/pop/5645,DCCP/Class V/1505,50,5
322,3/7/2019,DCLPS/876,DCP/pop/5585,DCCP/Class A/1480,101,5
323,3/7/2019,DCLPS/877,DCP/pop/5604,DCCP/Class J /1488,224,4
